################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: xph2app003
#     Report Created on: Tue Jun  6 10:55:32 2017
#     Working Directory: /tp/xph2app/xph2app003/Prj_conception/Design/spy
#     Report Location  : ./spyglass-1/dft/dft_scan_ready/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : 5.6.0
#     Policy Name      : dft(5.6.0)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Initialized, Shift-Sim, Capture-Sim
31, CORDIC_top.cell2.\z_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
32, CORDIC_top.cell2.\z_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
33, CORDIC_top.cell2.\z_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
34, CORDIC_top.cell2.\z_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
35, CORDIC_top.cell2.\x_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
36, CORDIC_top.cell2.\x_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
37, CORDIC_top.cell2.\x_out_reg[2]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
38, CORDIC_top.cell2.\x_out_reg[3]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
39, CORDIC_top.cell2.\x_out_reg[4]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
40, CORDIC_top.cell2.\x_out_reg[5]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
41, CORDIC_top.cell2.\x_out_reg[6]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
42, CORDIC_top.cell2.\x_out_reg[7]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
43, CORDIC_top.cell2.\y_out_reg[0]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
44, CORDIC_top.cell2.\y_out_reg[1]\, Un-Scannable - Clock, No clock, No clock, D->0_cnt(yn-), pin absent, pin absent, unobservable, used, Q->X D->X, Q->X D->X, Q->X D->X
